id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
69ZNzwrCGP6h5ewkJQWWaT,Brad Kane,7.0,1.0,"One Jump Ahead - From ""Aladdin""/Soundtrack Version",59,0.425,0.564,142440.0,0.326,0.0,0.742,-16.436,0.127,123.608,0.688,0,2004,0.0,0.098,0.143,-0.5053,0.759,-0.044999999999999984
33pEKWX4isAp2xAp82gzbj,Coco Jones,2.0,1.0,Me And You,51,0.183,0.619,216600.0,0.894,9.48e-06,0.172,-5.127000000000002,0.0457,92.015,0.6759999999999999,0,2012,0.0,0.082,0.164,-0.7342,0.754,-0.082
3mYCd23hPxJW5okSvMoy3x,The Strokes,8.0,1.0,Heart In a Cage,59,2.73e-06,0.418,206173.0,0.857,0.805,0.368,-5.132999999999999,0.0404,140.02,0.12,0,2006,1.0,0.396,0.053,0.9014,0.552,0.343
0QtrBxBKVVQF1mvQ5bX6K0,Bad Company,2.0,0.0,Master of Ceremony - 2017 Remaster,3,0.0492,0.695,433027.0,0.468,0.00187,0.331,-10.827,0.0398,84.553,0.8029999999999999,0,2019,0.0,0.406,0.0,0.9509,0.594,0.406
6z4LGme7tL991yvpk1gURW,Los Angeles De Charly,2.0,1.0,Me Volví A Acordar De Ti,55,0.132,0.6729999999999999,235293.0,0.579,0.0,0.423,-4.587,0.0269,145.97,0.7759999999999999,0,2010,0.0,0.07,0.0,0.6124,0.93,0.07
1cqWEQ6TRfYr3SBNh7Ni2w,Drowning Pool,4.0,0.0,Bodies,56,0.00218,0.615,202467.0,0.919,0.000607,0.113,-4.3180000000000005,0.0798,130.91899999999998,0.542,0,2014,0.0,0.125,0.034,0.7518,0.841,0.091
4kUZvXB3LC3an3HX6h0s17,KIDS SEE GHOSTS,8.0,0.0,Cudi Montage,64,0.401,0.7290000000000001,197001.0,0.504,1.44e-06,0.121,-6.784,0.0321,110.011,0.305,0,2018,0.0,0.35,0.075,0.9899,0.576,0.27499999999999997
5o8D9iumZKT9hHPzhh8viT,Linkin Park,1.0,1.0,Plc.4 Mie Hæd (Amp Live Reanimation) [feat. Zion],38,0.181,0.6409999999999999,260747.0,0.902,0.0,0.654,-7.068,0.18,133.273,0.524,0,2002,1.0,0.092,0.38,-0.9908,0.528,-0.28800000000000003
3v8PlUFGQQDBIk1J86waCo,The Clash,2.0,1.0,Should I Stay or Should I Go - Remastered,65,0.0838,0.742,188240.0,0.8440000000000001,0.0,0.418,-6.441,0.111,113.371,0.85,0,2013,0.0,0.14,0.166,-0.3939,0.693,-0.025999999999999995
1a9YW7fATU351ok4zWjU7a,Paramore,9.0,1.0,Brick by Boring Brick,62,9.56e-05,0.436,253947.0,0.942,0.000438,0.209,-2.206,0.0496,164.975,0.5,0,2009,0.0,0.075,0.089,-0.2023,0.836,-0.013999999999999999
