,id,artist_name,key,mode,track_name,rel_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
88,6j2aNuhJJUnRj6UHcvn5PI,Trick Daddy,11.0,1.0,I'm a Thug,2001-03-20,60,0.0275,0.933,254400.0,0.561,0.0,0.102,-5.961,0.122,139.976,0.586
89,4tgeQrPu5xkrnwErym2JsJ,Eve 6,7.0,1.0,Here's to the Night,2000,58,0.0405,0.583,249840.0,0.652,0.000378,0.0781,-6.255,0.0244,97.469,0.352
90,5ueUywJbmAZY2MF9hdJS2y,Toby Keith,7.0,1.0,You Shouldn't Kiss Me Like This,2008-01-01,48,0.319,0.421,221067.0,0.79,3.41e-06,0.257,-4.457,0.0417,168.643,0.303
91,7HjapQv66LJbfq0R9YPn6w,BFM Hits,2.0,1.0,Get over Yourself (Originally Performed by Eden's Crush) [Karaoke Version],2013-03-15,8,0.13,0.707,198980.0,0.685,0.0,0.141,-11.426,0.0598,89.477,0.599
92,1C2Q3AymKS17bw7T5gfq6p,Debelah Morgan,7.0,0.0,Dance with Me,2000,51,0.309,0.85,220107.0,0.674,0.000645,0.0356,-7.981,0.0373,115.005,0.74
93,6glsMWIMIxQ4BedzLqGVi4,Outkast,5.0,0.0,"So Fresh, So Clean",2000-10-31,72,0.0281,0.725,240027.0,0.64,0.0,0.099,-7.905,0.332,166.028,0.915
94,4bUfMNNmiCmPXVyWzIfKeZ,Nelly,2.0,0.0,E.I.,2000-06-27,63,0.0732,0.834,285907.0,0.481,0.0,0.0934,-7.824,0.188,89.849,0.406
95,3PbHle8KhJp6GuO1jLdEmQ,3 Doors Down,7.0,1.0,Be Like That,2000,63,0.00528,0.487,265907.0,0.702,4.97e-06,0.129,-6.043,0.0238,95.982,0.306
96,635PqgECfFbL0MNLogX7Yv,P!nk,2.0,0.0,Most Girls,2000-04-04,55,0.0424,0.742,298960.0,0.732,0.00446,0.101,-6.046,0.0311,97.922,0.694
97,24Gxm7Eh7tO83E26LG0CsY,Enrique Iglesias,7.0,1.0,Hero,2001-01-01,63,0.143,0.581,264600.0,0.651,1.05e-05,0.107,-5.617,0.0392,151.959,0.146
98,1sjrDQXqAa9V07FjKIlAQ4,Fuel,1.0,1.0,Hemorrhage (In My Hands),2000-09-19,65,0.000144,0.301,236867.0,0.823,0.000309,0.0833,-4.072,0.0433,152.017,0.372
99,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,10.0,1.0,How You Remind Me,2001-09-11,81,0.00135,0.446,223840.0,0.764,0.0,0.099,-5.042,0.033,172.094,0.543
100,6zMUIb4uce1CzpbjR3vMdN,Ashanti,0.0,1.0,Foolish,2002-01-01,74,0.347,0.665,227387.0,0.695,0.0,0.106,-5.763,0.0532,90.119,0.707
101,04KTF78FFg8sOHC1BADqbY,Nelly,11.0,0.0,Hot In Herre,2002-06-25,76,0.206,0.956,228240.0,0.745,0.0,0.0615,-4.753,0.12,107.075,0.912
